model,property,fold,srcc,srcc_pval,mae,mse,rmse,r2,n_samples
Transformer,Di,4,0.5895696551574311,4.462052255823373e-161,1.4254334458109241,5.9376203099091125,2.4367232731496435,0.4663209651237987,1715
Transformer,Dif,0,0.6025075986926866,5.508322909914543e-170,1.3758585706049082,5.887431943387874,2.426403087573842,0.44039678721800957,1715
Transformer,Dif,1,0.5718969058003038,1.533004841995204e-149,1.491590867862757,6.380261895840942,2.525918030309167,0.39355306530328416,1715
Transformer,Dif,2,0.5721292812813603,1.092421066505374e-149,1.4471926654393055,6.073242738309356,2.464395004521263,0.42273538258395393,1715
Transformer,Dif,3,0.5865081466805673,5.000655599344507e-159,1.4124891126816197,5.852025182711891,2.41909594326308,0.4437622166988098,1715
Transformer,Dif,4,0.5652764408226733,2.1331361831064324e-145,1.4689249774109865,6.050996748164075,2.459877384782436,0.4248498745520177,1715
Transformer,logKH_CO2,0,0.6601409199361995,3.772907310940942e-215,0.5620882708633607,0.7011302097227621,0.8373351836169086,0.38211310880475735,1715
Transformer,logKH_CO2,1,0.6488373519174465,1.6337554686043208e-205,0.597364945045018,0.6983891762057535,0.8356968207464676,0.38452870672793926,1715
Transformer,logKH_CO2,2,0.688110826016432,6.717900818244781e-241,0.5522078219464499,0.6169827194766525,0.78548247560124,0.45626999211835717,1715
Transformer,logKH_CO2,3,0.64636141001454,1.8591982947143026e-203,0.5899947251331702,0.7134292006626664,0.8446473824399543,0.37127434423390704,1715
Transformer,logKH_CO2,4,0.6440654419738985,1.4419822041067316e-201,0.5728260618691542,0.7197352707834533,0.8483721298955155,0.3657169769880527,1715
PointNet,CH4_HP,0,0.6630382647280554,1.093149087936985e-217,2.376557254217804,10.427127216741363,3.229106256650803,0.4767188964312309,1715
PointNet,CH4_HP,1,0.383863261259494,2.5358154995979923e-61,2.9471490046547038,14.45867331557874,3.8024562213888458,0.2743974086583716,1715
PointNet,CH4_HP,2,0.588675704423619,1.7792921141178406e-160,2.625690991242495,12.251276077819,3.500182292084085,0.38517473385826007,1715
PointNet,CH4_HP,3,0.5579327014518595,6.555703470557381e-141,2.679278428335579,11.922806535497626,3.4529417219955545,0.401658843145686,1715
PointNet,CH4_HP,4,0.5890994704038012,9.24104604068944e-161,2.757925588935179,15.161331001485415,3.893755385419764,0.23913482082670312,1715
PointNet,CO2_LP,0,0.4387943421329939,1.2320097750201617e-81,1.0061752083304043,1.972269818295113,1.4043752412710475,0.16514603615188117,1715
PointNet,CO2_LP,1,0.47060043756745623,3.099540031592586e-95,0.9878254567479319,1.9349077652854179,1.391009620845743,0.18096124447850392,1715
PointNet,CO2_LP,2,0.39471669948892346,4.8666553073148954e-65,1.0757581299966412,2.067174275898741,1.4377671146255713,0.12497335699699041,1715
PointNet,CO2_LP,3,0.36914857580682847,1.673701191313048e-56,1.0559865959268335,2.1720303679893145,1.4737809769396926,0.08058819057431987,1715
PointNet,CO2_LP,4,0.412520254501125,1.910691364956181e-71,1.0820615934341082,2.0392919058734456,1.4280377816687644,0.13677585324835007,1715
PointNet,Df,0,0.3639904907283206,7.157500975710558e-55,1.494186914488456,5.466878109356558,2.3381356054250912,0.045655800610496455,1715
PointNet,Df,1,0.41822629516174564,1.3942025746374338e-73,1.4464967991798334,5.212241015984447,2.2830332927893204,0.09010739220409059,1715
PointNet,Df,2,0.39392111819978953,9.214158092194928e-65,1.484960741065334,5.303817355025407,2.3030018139431427,0.07412105663617485,1715
PointNet,Df,3,-0.028164547449718857,0.24371682957363475,1.6452019350869316,5.791444891175036,2.406542102514526,-0.01100330525338733,1715
PointNet,Df,4,0.22434055884963933,5.259988270770722e-21,1.5124097933922147,5.282025867359152,2.298265839140275,0.07792516191058463,1715
PointNet,Di,0,0.7865449368130982,0.0,1.5947578424614999,6.022789923435371,2.4541373073720574,0.4586658381916138,1715
PointNet,Di,1,0.5679863989439008,4.409024464287488e-147,1.7288704823474494,7.539077523089468,2.745738065273064,0.32238044765768514,1715
PointNet,Di,2,0.5610349085457813,8.602903917236344e-143,1.6806248638442236,7.506043656352924,2.7397159809646188,0.32534956343101384,1715
PointNet,Di,3,0.5245788497447362,7.081707147769665e-122,1.8740062842911256,8.86162215830455,2.9768476881265777,0.20350886145599245,1715
PointNet,Di,4,0.559823401914896,4.698763423511201e-142,1.721302019263843,7.708753379519423,2.776464186608468,0.3071298181840878,1715
PointNet,Dif,0,0.31720946464718347,2.1529160590179076e-41,2.068991577242971,12.213469186318552,3.4947774158476177,-0.160896068370471,1715
PointNet,Dif,1,0.4949879761824566,1.1085061426080746e-106,1.9341867841715021,10.045643981941078,3.169486390874881,0.045156750716780825,1715
PointNet,Dif,2,0.5858036852903157,1.470718477584956e-158,1.7982987659665655,8.901427484254274,2.983526015347323,0.15391507427461248,1715
PointNet,Dif,3,0.6697304879308513,1.1648403076501876e-223,1.6945992872944378,7.175260579041965,2.678667687310609,0.3179880614858914,1715
PointNet,Dif,4,0.6108924279624252,5.569079514715078e-176,1.6036487131702657,6.644180555053565,2.577630802704989,0.3684674709340162,1715
PointNet,logKH_CO2,0,0.41104813077999086,6.695709557758229e-71,0.7469674143864184,0.9501939553910729,0.9747789264192537,0.16262003692401938,1715
PointNet,logKH_CO2,1,0.5357810307504869,4.949688847279583e-128,0.7006526935986805,0.8875132611612171,0.9420792223381307,0.21785881961883358,1715
PointNet,logKH_CO2,2,0.5597149308434524,5.468295274663756e-142,0.673735323044371,0.8389580180580014,0.9159465148457094,0.26064922829932446,1715
PointNet,logKH_CO2,3,0.45473783235791193,2.8437458915949757e-88,0.7088068857919371,0.9048281270577466,0.9512245408197513,0.2025997015379003,1715
PointNet,logKH_CO2,4,0.4575598516559524,1.7456098765842193e-89,0.7337212447261672,0.9138117427119308,0.9559350096695542,0.19468268659362675,1715
